2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=33
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=8
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=26
2024-02-07 14:56:25,971 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2024-02-07 14:56:25,971 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2024-02-07 14:56:25,971 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2024-02-07 14:56:25,971 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2024-02-07 14:56:26,221 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2024-02-07 14:56:26,221 [main] INFO  marytts.SableParser Starting power-on self test.
2024-02-07 14:56:26,221 [main] INFO  marytts.SableParser Power-on self test complete.
2024-02-07 14:56:26,278 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2024-02-07 14:56:26,278 [main] INFO  marytts.SSMLParser Starting power-on self test.
2024-02-07 14:56:26,278 [main] INFO  marytts.SSMLParser Power-on self test complete.
2024-02-07 14:56:26,318 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2024-02-07 14:56:26,318 [main] INFO  marytts.APMLParser Starting power-on self test.
2024-02-07 14:56:26,318 [main] INFO  marytts.APMLParser Power-on self test complete.
2024-02-07 14:56:26,351 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2024-02-07 14:56:26,351 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2024-02-07 14:56:26,351 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2024-02-07 14:56:26,351 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2024-02-07 14:56:26,359 [main] INFO  marytts.JTokeniser Starting power-on self test.
2024-02-07 14:56:26,359 [main] INFO  marytts.JTokeniser Power-on self test complete.
2024-02-07 14:56:26,359 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2024-02-07 14:56:26,359 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2024-02-07 14:56:26,359 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2024-02-07 14:56:26,359 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2024-02-07 14:56:26,359 [main] INFO  marytts.Prosody Starting power-on self test.
2024-02-07 14:56:26,359 [main] INFO  marytts.Prosody Power-on self test complete.
2024-02-07 14:56:26,359 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2024-02-07 14:56:26,359 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2024-02-07 14:56:26,359 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2024-02-07 14:56:26,359 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2024-02-07 14:56:26,359 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2024-02-07 14:56:26,359 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2024-02-07 14:56:26,359 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2024-02-07 14:56:26,359 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2024-02-07 14:56:26,359 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2024-02-07 14:56:26,359 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2024-02-07 14:56:26,359 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2024-02-07 14:56:26,359 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2024-02-07 14:56:26,359 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2024-02-07 14:56:26,359 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
